the_geom,cartodb_id,pname,date,year,longitude,latitude,state,county,cnumber
0101000020E610000030DFB023C40051C08CFFF114286E4740,58,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000074/PP
0101000020E610000030DFB023C40051C08CFFF114286E4740,59,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000075/PP
0101000020E610000030DFB023C40051C08CFFF114286E4740,60,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000076/PP
0101000020E610000030DFB023C40051C08CFFF114286E4740,61,Jack Delano,1940-10-01 00:00:00+00,1940,-68.0119714,46.8605982,Maine,Aroostook County,fsa1992000077/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,108,Jack Delano,1941-05-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000161/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,109,Jack Delano,1941-05-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000162/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,110,Jack Delano,1941-05-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000163/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,111,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000164/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,112,Jack Delano,,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000165/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,113,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000166/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,114,Jack Delano,1941-06-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000167/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,115,Jack Delano,,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000168/PP
0101000020E61000001E15FF7744C254C00AD5720C6DBC4040,116,Jack Delano,1941-06-01 00:00:00+00,1941,-83.035429,33.4720779,Georgia,Greene County,fsa1992000169/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,117,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000170/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,118,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000171/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,119,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000172/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,120,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000173/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,121,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000174/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,122,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa1992000175/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,123,Jack Delano,1941-06-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000176/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,124,Jack Delano,1941-06-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000177/PP
0101000020E61000002FA52E19C7C654C00FBD207DEED54040,125,Jack Delano,1941-06-01 00:00:00+00,1941,-83.105902,33.6713406,Georgia,Greene County,fsa1992000178/PP
